Date,Stock Price,Equity REIT Price,diff_stockprice,diff_Equity REIT Price,,,,,S&P 100
"July 1, 1996",639.95,240.8656656,12.04,-0.327711854,,,117.10 ,115.89 ,308.174988
"August 1, 1996",651.99,248.6570822,35.34,7.79141657,,,117.09 ,115.87 ,314.809998
"September 1, 1996",687.33,252.399053,17.94,3.741970805,,,117.11 ,116.23 ,330.890015
"October 1, 1996",705.27,258.0530174,51.75,5.653964431,,,116.95 ,116.31 ,340.350006
"November 1, 1996",757.02,267.5258112,-16.28,9.472793845,,,117.07 ,116.62 ,366.695007
"December 1, 1996",740.74,294.2404037,45.42,26.71459246,,,117.08 ,116.94 ,359.98999
"January 1, 1997",786.16,295.7426187,4.66,1.502214957,,,116.90 ,117.05 ,385.899994
"February 1, 1997",790.82,293.343657,-33.70,-2.398961648,,,117.21 ,117.40 ,384.269989
"March 1, 1997",757.12,291.8907593,44.22,-1.452897692,,,118.16 ,117.91 ,368.600006
"April 1, 1997",801.34,281.9995593,46.94,-9.891199999,,,118.68 ,118.12 ,392.850006
"May 1, 1997",848.28,288.5419491,36.86,6.542389776,,,119.49 ,118.55 ,413.350006
"June 1, 1997",885.14,301.583595,69.17,13.04164592,,,119.94 ,118.64 ,430.575012
"July 1, 1997",954.31,309.0582177,-54.84,7.474622737,,,120.24 ,118.97 ,464.945007
"August 1, 1997",899.47,306.6003705,47.81,-2.457847288,,,120.65 ,119.39 ,434.470001
"September 1, 1997",947.28,332.899192,-32.66,26.29882154,,,120.42 ,119.51 ,456.915009
"October 1, 1997",914.62,321.7970039,40.78,-11.10218805,,,120.83 ,120.16 ,436.714996
"November 1, 1997",955.40,326.9587257,15.03,5.16172177,,,120.97 ,120.53 ,459.100006
"December 1, 1997",970.43,333.4665113,9.85,6.507785594,,,121.05 ,120.95 ,459.940002
"January 1, 1998",980.28,329.8801377,69.06,-3.586373639,,,121.15 ,121.31 ,468.790009
"February 1, 1998",1049.34,322.6919499,52.41,-7.188187721,,,122.04 ,122.24 ,501.929993
"March 1, 1998",1101.75,327.6095445,10.00,4.917594519,,,122.94 ,122.67 ,528.909973
"April 1, 1998",1111.75,314.7082929,-20.93,-12.90125162,,,123.83 ,123.24 ,536.47998
"May 1, 1998",1090.82,310.8047089,43.02,-3.903583993,,,124.76 ,123.74 ,529.039978
"June 1, 1998",1133.84,308.0017581,-13.17,-2.802950801,,,125.95 ,124.53 ,554.559998
"July 1, 1998",1120.67,286.1191215,-163.39,-21.88263658,,,126.20 ,124.84 ,550.929993
"August 1, 1998",957.28,257.4279582,59.73,-28.69116328,,,126.72 ,125.40 ,470.910004
"September 1, 1998",1017.01,270.9976024,81.66,13.56964421,,,127.16 ,126.18 ,493.100006
"October 1, 1998",1098.67,264.2641655,64.96,-6.733436888,,,127.44 ,126.71 ,536.969971
"November 1, 1998",1163.63,266.7898972,65.60,2.525731634,,,127.99 ,127.54 ,577.190002
"December 1, 1998",1229.23,259.0037714,50.41,-7.786125707,,,128.19 ,128.10 ,604.030029
"January 1, 1999",1279.64,252.787,-41.31,-6.216771445,,,128.71 ,128.86 ,640.440002
"February 1, 1999",1238.33,245.634,48.04,-7.153,,,129.20 ,129.41 ,618.419983
"March 1, 1999",1286.37,242.021,48.81,-3.613,,,130.24 ,129.94 ,646.590027
"April 1, 1999",1335.18,263.648,-33.34,21.627,,,131.25 ,130.61 ,675.650024
"May 1, 1999",1301.84,268.238,70.87,4.59,,,132.50 ,131.40 ,658.659973
"June 1, 1999",1372.71,261.654,-43.99,-6.584,,,133.52 ,131.98 ,704.469971
"July 1, 1999",1328.72,252.0305,-8.31,-9.6235,,,134.18 ,132.71 ,683.289978
"August 1, 1999",1320.41,246.9852,-37.70,-5.0453,,,134.94 ,133.54 ,692.23999
"September 1, 1999",1282.71,235.4641,80.22,-11.5211,,,135.01 ,133.94 ,672.369995
"October 1, 1999",1362.93,228.3005,25.98,-7.1636,,,135.66 ,134.84 ,717.030029
"November 1, 1999",1388.91,222.889,80.34,-5.4115,,,135.81 ,135.33 ,738.73999
"December 1, 1999",1469.25,227.368,-74.79,4.479,,,136.06 ,135.97 ,792.830017
"January 1, 2000",1394.46,227.338539,-28.04,-0.029461,,,137.37 ,137.53 ,754.26001
"February 1, 2000",1366.42,223.264399,132.16,-4.07414,,,137.19 ,137.41 ,738.640015
"March 1, 2000",1498.58,228.388613,-46.15,5.124214,,,138.78 ,138.47 ,815.059998
"April 1, 2000",1452.43,242.592056,-31.83,14.203443,,,140.08 ,139.40 ,781.419983
